v1, row ID
competition
competition_id, ID of the competition in WyScout Data
date
match
match_id, ID of the match in WyScout Data
team
team_id, ID of the team in WyScout data
player
player_id, ID of the player in WyScout data
is_human, Dummy, 1 if rating is human-made
rating, rating standardized per rater to a mean of zero and sd of 10
original_rating, original rating given by the
ss_goals
ss_assists
ss_shots_ontarget
ss_shots_offtarget
ss_shotsblocked, shots that were blocked by an opponent
ss_chances2score, chances to score that the player had during the game,  according to WyScout
ss_drib_success, number of successful dribbles by the player
ss_drib_unsuccess, number of unsuccessful dribbles by the player
ss_keypasses, number of key passes (passes that were immediately followed by a shot)
ss_touches, number of times the player has touched the ball during the game,  for any reason
ss_passes_acc, number of passes the player successfully completed in the game
ss_passes_inacc, number of innaccurate (not completed) passes of the player in the game
ss_crosses_acc, number of accurate (completed) crosses by the player in the game
ss_crosses_inacc, number of inaccurate crosses of the player in the game (crosses that did not rea
ss_lballs_acc, accurate long passes made by the player (reached a team-mate). Long passes are l
ss_lballs_inacc, inaccurate long passes made by the player (did not reach a team-mate)
ss_grduels_w, number of ground duels won by the player over an opposing player
ss_grduels_l, number of ground duels lost by the player and won by the opposing player
ss_aerials_w, number of aerial duels won by the player over an opposing player (not all header
ss_aerials_l, number of aerial duels lost by the player
ss_poss_lost, number of times the player lost possession of the ball,  for any reason
ss_fouls, number of fouls made by the player
ss_wasfouled, number of times the player was fouled by an opposing player
ss_clearances, number of clearances made by the player
ss_stop_shots, number of shots from opposing players that were blocked by the player (defensive
ss_interceptions, number of interceptions made by the player (usually anticipating a pass before i
ss_tackles, number of tackles made by the player
ss_dribbled_past, number of times the player was successfully dribbled by an opposition player
ss_tballs_acc, number of accurate through passes made by the player (through passes go through
ss_tballs_inacc, number of inaccurate through passes made by the player (did not reach a team-mat
ss_ycards, yellow cards received by the player
ss_rcards, red cards received by the player
ss_dangmistakes, dangerous mistakes made by the player that led to a difficult situation for his
ss_countattack, number of counter attacks in which the player participated
ss_offsides
ss_goals_ag_otb, FOR GOALKEEPERS, number of goals conceded from outside the box
ss_goals_ag_itb, FOR GOALKEEPERS, number of goals conceded from inside the box
ss_saves_itb, FOR GOALKEEPERS, number of saves made from inside the box
ss_saves_otb, FOR GOALKEEPERS, number of saves made from outside the box
ss_saved_pen, FOR GOALKEEPERS, number of saved penalty kicks
ss_missed_penalties, number of penalty kicks missed by the player
ss_owngoals, number of own goals made by the player
sna_degree_centrality, Degree Centrality from all-passes-aggregated network
sna_betweenness_centrality, Betweenness Centrality from all-passes-aggregated network
sna_closeness_centrality, Closeness Centrality from all-passes-aggregated network
sna2_flow_centrality, Logarithm of Flow Centrality from play-by-play networks.
sna2_flow_centrality_nolog, Flow Centrality (no logarithm) from play-by-play analyses networks
sna2_flow_success, Flow Success from play-by-play analyses networks
sna2_betweenness2shotsont, Betweenness to Shots On Target,  from play-by-play analysis networks
sna2_betweenness2shotsofft, Betweenness to Shots Off Target,  from play-by-play analysis networks
sna2_betweenness2goals, Betweenness to Goals,  from play-by-play analysis networks
sna2_betweenness2finishingzone, Betweenness to Finishing Zone,  from play-by-play analysis networks
sna2_success_ratio, Success/Fail Ratio to Finishing Zone,  from play-by-play analysis networks
motifs_team_abcd, number of ABCD motifs completed by the team
motifs_team_abab, number of ABAB motifs completed by the team
motifs_team_abac, number of ABAC motifs completed by the team
motifs_team_abca, number of ABCA motifs completed by the team
motifs_team_abcb, number of ABCB motifs completed by the team
motifs_team_abcd_reluse, Team's relative use of ABCD motif as compared with the other motifs
motifs_team_abab_reluse, Team's relative use of ABAB motif as compared with the other motifs
motifs_team_abac_reluse, Team's relative use of ABAC motif as compared with the other motifs
motifs_team_abca_reluse, Team's relative use of ABCA motif as compared with the other motifs
motifs_team_abcb_reluse, Team's relative use of ABCB motif as compared with the other motifs
motifs_abcd, number of ABCD motifs completed by the player
motifs_abab, number of ABAB motifs completed by the player
motifs_abac, number of ABAC motifs completed by the player
motifs_abca, number of ABCA motifs completed by the player
motifs_abcb, number of ABCB motifs completed by the player
motifs_abcd_reluse, Player's relative use of ABCD motif as compared with the other motifs
motifs_abab_reluse, Player's relative use of ABAB motif as compared with the other motifs
motifs_abac_reluse, Player's relative use of ABAC motif as compared with the other motifs
motifs_abca_reluse, Player's relative use of ABCA motif as compared with the other motifs
motifs_abcb_reluse, Player's relative use of ABCB motif as compared with the other motifs
xg_player_shots, Expected Goals of the player (sum of Expected Goals of all the shots he took)
xg_blocked, Expected Goals Blocked by the player (sum of Expected Goal's values of all the s
xg_conceded_gk, FOR GOALKEEPERS, Sum of the Expected Goal's values of all the actual goals conce
xg_saved_gk, FOR GOALKEEPERS, sum of the Expected Goal's values of all the shots that were sa
xg_index, Actual Goals by the player divided by Expected Goals by the player (summ of xG o
xg_index_gk, FOR GOALKEEPERS, Expected Goals of all shots that the goalkeeper received during
opp_teamid, ID of the Opponent Team in the WyScout data
opp_xg, Sum of Expected Goal's values of all shots made by the opponent team
opp_rating, Average Rating of the Opponent Team
opp_rating_original, Average Rating of the Opponent Team (on its original scale)
opp_gk_rating, Rating of the Opponent Team's Goalkeeper during the game
opp_bestdf_rating, Rating of the best-rated Defender of the Opponent Team
opp_bestmf_rating, Rating of the best-rated Midfielder of the Opponent Team
opp_bestfw_rating, Rating of the best-rated Forward of the Opponent Team
opp_chances2score, Total Chances to Score of the Opponent Team
opp_countattacks, Number of Counter Attacks of the Opponent Team
opp_rcards, Number of Red Cards of the opponent team
team_xg, sum of Expected Goal's values of all shots made by the team
team_chances2score, Total Chances to Score by the team
team_countattacks, Number of Counter Attacks of the team
team_rcards, Red Cards received by the team
team_goals, Number of goals scored by the team
opp_goals, Number of goals scored by the Opponent team
win, dummy, 1 if team won the match
lost, dummy, 1 if team lost the match
team_rating, Average Rating of the player's teammates during the game
team_rating_original, Do Not Use, avg. Rating of the team during the game,  in original scale (the play
team_pos_rating, Average Rating of the player's nearest teammates (those who play in the same pos
past_performances, Avg. rating of player's last 5 matches
is_home_team, dummy, 1=the team is Home team
minutesplayed, minutes played by the player in the match
game_duration, total number of minutes of the match
position0=GK,  1=DF,  2=MF,  3=FW
position_role0=GK,  1=DR,  2=DC,  3=DL,  4=DMR,  5=DMC,  6=DML,  7=MR,  8=MC,  9=ML,  10=AMR,  11=AMC,  1
rat, Rater, 0=Kicker,  1=Bild,  2=SkySports,  3=TheGuardian,  4=WhoScored,  5=SofaScore
kicker, dummy, 1= rater Kicker
bild, dummy, 1= rater Bild
skysports, dummy, 1=rater SkySports
goalkeeper, dummy, 1=position is Goalkeeper
defender, dummy, 1= position is Defender
midfielder, dummy, 1=position is Midfielder
forward, dummy, 1=position is Forward
id, FIFA Player ID
nationality
height
weight
leftfoot, dummy,1=Left foot preferred
preferredposition, preferred FIFA positions
bday, birthday
age, current age as of 2021
age16, age in 2016
age17, age in 2017
age18, age in 2018